OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
850,943,113,4.029252,100,pass,IL-TESTTSC-KENNEDY-E-2027,21401-21406-1
851,944,629,13.451604,100,pass,IL-TESTTSC-I_57-S-9123,20372-20396-1
852,945,192,3.106055,80,pass,IL-TESTTSC-EISENHOWER-W-3101,15546-15303-1
853,946,1742,12.830486,100,pass,IL-TESTTSC-DAN_RYAN-S-5309,15633-15632-1
854,947,175,4.424993,50,pass,IL-TESTTSC-KENNEDY_REVERSIBLE-W-2304,21458-21414-1
855,948,536,0.021293,100,pass,IL-TESTTSC-I_290-E-4032,20177-20186-1
856,949,299,12.178245,100,pass,IL-TESTTSC-I_80-E-35039,20491-20488-1
857,950,816,14.253234,100,pass,IL-TESTTSC-I_57-S-9109,14975-14977-1
858,951,380,15.972751,100,pass,IL-TESTTSC-I_80-E-35058,20478-20477-1
859,952,1074,3.937414,100,pass,IL-TESTTSC-BISHOP_FORD-S-7120,16356-21218-1
860,954,827,14.855955,100,pass,IL-TESTTSC-STEVENSON-N-6055,15415-15615-1
861,955,572,13.599971,100,pass,IL-TESTTSC-I_80-E-35047,20488-12288-1
862,957,587,22.000722,100,pass,IL-TESTTSC-I_290-E-4029,20176-20177-1
863,958,1074,5.190161,100,pass,IL-TESTTSC-BISHOP_FORD-S-7121,16356-21218-1
864,959,175,3.299276,50,pass,IL-TESTTSC-KENNEDY_REVERSIBLE-W-2301,21458-21414-1
865,960,908,15.110271,100,pass,IL-TESTTSC-STEVENSON-N-6053,20810-15415-1
866,961,697,1.672127,100,pass,IL-TESTTSC-EDENS-N-1122,20633-13418-1
867,962,1145,4.441934,100,pass,IL-TESTTSC-STEVENSON-N-6035,21127-21126-1
868,963,934,0.882469,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-N-5020,20787-15315-1
869,964,1368,19.288783,100,pass,IL-TESTTSC-KENNEDY-E-2002,11808-11889-1
870,965,920,16.762674,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-N-5081,20831-15934-1
